brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941947,IS 250 ,32 000 $,2014,,Սպիտակ,,Սեդան,,Ձախ,,F sport,Բենզին,,,26000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941927,IS 350 ,32 000 $,2014,,Սպիտակ,,Սեդան,,Ձախ,,3.5 f sport,Բենզին,,,26000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  21.12.2018, ID: 1941911,Forte ,6 100 $,2011,"15""",Սև,4,Սեդան,,Ձախ,4,EX,Բենզին,0.2,,55700 մղոն,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  21.12.2018, ID: 1941905,Astra ,2 950 $,2000,"15""",Արծաթագույն,4,Սեդան,75,Ձախ,4,,Բենզին,1.6,Սև,176000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  21.12.2018, ID: 1941903,Forte ,6 000 $,2011,,Սև,,Սեդան,,Ձախ,,2.0 Doch,Բենզին,,,81880 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941893,LX 570 ,51 000 $,2013,,Սպիտակ,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,159000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941886,Astra ,2 900 $,2000,,Սև,,Սեդան,,Ձախ,,opel astra 1.6 prastoy mator,Բենզին,,,135000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941879,Astra ,2 800 $,2000,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,1.6,Բենզին,,,167000 կմ,Մեխանիկական,
Land Rover, Տեղադրված է՝  21.12.2018, ID: 1941878,Range Rover Sport ,8 800 $,2007,,Սև,,Ամենագնաց,,Ձախ,8,"Nor berac,California, 4.4 mator",Բենզին,4.4,Սև,125100 մղոն,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  21.12.2018, ID: 1941867,Astra ,3 000 $,2000,,Կապույտ,,Սեդան,,Ձախ,,,Բենզին,,,260000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941862,Zafira ,3 600 $,2002,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,18,Բենզին,,,157000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941853,GX 470 ,14 000 $,2003,"17""",Սև,5,Ամենագնաց,238,Ձախ,8,,Գազ,4.7,Մոխրագույն,135000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941849,GX 470 ,14 000 $,2004,,Սպիտակ,,Ունիվերսալ,,Ձախ,,MAQUR CARFAX RESTYLE NOR BERVATS,Բենզին,,,126000 մղոն,Ավտոմատ,
Niva, Տեղադրված է՝  21.12.2018, ID: 1941836,2121,8 000 $,2017,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,15500 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941822,Vectra B ,2 700 $,2000,,Սև,,Սեդան,,Ձախ,,,Գազ,,,266000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  21.12.2018, ID: 1941804,Pajero ,5 700 $,2000,,Սև,,Կուպե,,Ձախ,,,Գազ,,,140000 կմ,Ավտոմատ,
Mazda, Տեղադրված է՝  21.12.2018, ID: 1941800,3,9 000 $,2013,,Սպիտակ,,Սեդան,,Ձախ,4,2013/2014,Բենզին,1.8,Սև,35000 կմ,Ավտոմատ,Առջևի
Mitsubishi, Տեղադրված է՝  21.12.2018, ID: 1941798,Grandis ,4 700 $,2005,"17""",Մոխրագույն,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,,Sport Gear,Բենզին,2.4,Սև,125000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  21.12.2018, ID: 1941793,Forte ,5 700 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,120000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  21.12.2018, ID: 1941777,Forte ,6 700 $,2012,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,90000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941724,Astra ,3 050 $,2000,,Արծաթագույն,,Սեդան,,Ձախ,,1.6 prastoy mator,Գազ,,,160000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941715,Zafira ,3 900 $,2004,"17""",Արծաթագույն,5,Ունիվերսալ,108,Աջ,6,2.2,Գազ,2.2,Մոխրագույն,138000 կմ,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  21.12.2018, ID: 1941670,Astra ,3 200 $,2000,,Կանաչ,,Ունիվերսալ,,Ձախ,,,Բենզին,,,168000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  21.12.2018, ID: 1941644,Airtrek ,6 000 $,2004,,Սև,,Հետչբեք,,Ձախ,,2.4,Բենզին,,,175000 կմ,Ավտոմատ,
Mazda, Տեղադրված է՝  21.12.2018, ID: 1941599,6,9 900 $,2013,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,76000 կմ,Ավտոմատ,
